Order,Family,Species,Mass(g),BMR(W),Speciesavg.mass(g),Speciesavg.BMR(W),References
Rodentia,Muridae,Calomyslepidus,16,0.161,16,0.161,Lovegrove(2003)
Rodentia,Muridae,Calomysmusculinus,16.9,0.154,16.9,0.154,White&Seymour(2003)
Rodentia,Muridae,Cannomysbadius,344,0.96,344,0.96,White&Seymour(2003)
Rodentia,Muridae,Chionomysnivalis,32.8,0.452,32.8,0.452,White&Seymour(2003)
Rodentia,Muridae,Chroeomysandinus,34.6,0.361,34.7,0.353,White&Seymour(2003)
Rodentia,Muridae,Chroeomysandinus,34.9,0.345,,,Lovegrove(2003)
Rodentia,Muridae,Clethrionomyscalifornicus,18.3,0.341,18.3,0.341,Lovegrove(2000)
Rodentia,Muridae,Clethrionomysgapperi,22.3,0.275,23.4,0.291,White&Seymour(2003)
Rodentia,Muridae,Clethrionomysgapperi,23.3,0.27,,,Lovegrove(2003)
Rodentia,Muridae,Clethrionomysgapperi,24.6,0.332,,,Lovegrove(2000)
Rodentia,Muridae,Clethrionomysglareolus,18,0.311,21.5,0.312,Hart(1971)
Rodentia,Muridae,Clethrionomysglareolus,20.5,0.27,,,Heusner(1991)
Rodentia,Muridae,Clethrionomysglareolus,23.4,0.354,,,White&Seymour(2003)
Rodentia,Muridae,Clethrionomysglareolus,24.6,0.32,,,Lovegrove(2003)
Rodentia,Muridae,Clethrionomysrufocanus,27,0.331,27.2,0.321,White&Seymour(2003)
Rodentia,Muridae,Clethrionomysrufocanus,27.5,0.31,,,Heusner(1991)
Rodentia,Muridae,Clethrionomysrutilus,28,0.43,28,0.43,White&Seymour(2003)
Rodentia,Muridae,Coniluruspenicillatus,213.2,0.908,213.2,0.908,White&Seymour(2003)
Rodentia,Muridae,Cricetomysgambianus,1521.4,5.703,1686.7,6.024,Lovegrove(2000)
Rodentia,Muridae,Cricetomysgambianus,1870,6.364,,,White&Seymour(2003)
Rodentia,Muridae,Cricetulusmigratorius,30.7,0.245,30.7,0.245,White&Seymour(2003)
Rodentia,Muridae,Cricetuscricetus,336.7,1.19,365.3,1.251,Heusner(1991)
Rodentia,Muridae,Cricetuscricetus,362,1.293,,,White&Seymour(2003)
Rodentia,Muridae,Cricetuscricetus,400,1.272,,,Hart(1971)
Rodentia,Muridae,Desmodillusauricularis,71.93,0.49,71.9,0.49,White&Seymour(2003)
Rodentia,Muridae,Dicrostonyxgroenlandicus,47,0.52,56.8,0.459,Heusner(1991)
Rodentia,Muridae,Dicrostonyxgroenlandicus,59.62,0.551,,,White&Seymour(2003)
Rodentia,Muridae,Dicrostonyxgroenlandicus,61,0.391,,,Hart(1971)
Rodentia,Muridae,Dicrostonyxgroenlandicus,61,0.395,,,Hart(1971)
Rodentia,Muridae,Eligmodontiatypus,17.5,0.167,17.5,0.167,White&Seymour(2003)
Rodentia,Muridae,Euneomyschinchilloides,65.4,0.471,65.4,0.471,White&Seymour(2003)
Rodentia,Muridae,Gerbilluruspaeba,33.9,0.194,33.9,0.194,White&Seymour(2003)
Rodentia,Muridae,Gerbillurussetzeri,46.1,0.206,46.1,0.206,White&Seymour(2003)
Rodentia,Muridae,Gerbillurustytonis,29.9,0.177,29.9,0.177,White&Seymour(2003)
Rodentia,Muridae,Gerbillurusvallinus,38.8,0.194,38.8,0.194,White&Seymour(2003)
Rodentia,Muridae,Gerbillusallenbyi,35.3,0.217,35.3,0.217,Lovegrove(2000)
Rodentia,Muridae,Gerbillusdasyurus,27.6,0.163,27.6,0.163,White&Seymour(2003)
Rodentia,Muridae,Gerbillusgerbillus,29.7,0.237,29.7,0.237,White&Seymour(2003)
Rodentia,Muridae,Gerbillusnanus,28.4,0.124,29.7,0.129,White&Seymour(2003)
Rodentia,Muridae,Gerbillusnanus,31,0.135,,,Lovegrove(2000)
Rodentia,Muridae,Gerbillusperpallidus,52.4,0.243,56.3,0.261,White&Seymour(2003)
Rodentia,Muridae,Gerbillusperpallidus,60.5,0.28,,,Lovegrove(2003)
Rodentia,Muridae,Gerbilluspusillus,12.6,0.075,12.6,0.075,White&Seymour(2003)
Rodentia,Muridae,Gerbilluspyramidum,108.5,0.454,108.5,0.454,White&Seymour(2003)
Rodentia,Muridae,Golundaellioti,56.2,0.339,56.2,0.339,Lovegrove(2003)
Rodentia,Muridae,Graomysgriseoflavus,69.4,0.469,69.4,0.469,White&Seymour(2003)
Rodentia,Muridae,Hydromyschrysogaster,900,2.97,900,2.97,Heusner(1991)
Rodentia,Muridae,Isthmomyspirrensis,137.9,0.677,137.9,0.677,White&Seymour(2003)
Rodentia,Muridae,Lasiopodomysbrandtii,40.2,0.428,40.2,0.428,White&Seymour(2003)
Rodentia,Muridae,Lemmiscuscurtatus,30.3,0.281,30.3,0.281,White&Seymour(2003)
Rodentia,Muridae,Lemmuslemmus,80,1.071,80,1.071,White&Seymour(2003)
Rodentia,Muridae,Lemmussibiricus,50.2,0.503,60.8,0.667,White&Seymour(2003)
Rodentia,Muridae,Lemmussibiricus,64,0.882,,,Lovegrove(2000)
Rodentia,Muridae,Lemmussibiricus,70,0.67,,,Heusner(1991)
Rodentia,Muridae,Lemniscomysgriselda,47.5,0.321,47.5,0.321,White&Seymour(2003)
Rodentia,Muridae,Lemniscomysrosalia,50.53,0.343,50.5,0.343,White&Seymour(2003)
Rodentia,Muridae,Malacothrixtypica,21.7,0.115,21.7,0.115,White&Seymour(2003)
Rodentia,Muridae,Mastomysnatalensis,41.49,0.183,41.5,0.183,Lovegrove(2000)
Rodentia,Muridae,Megadontomysthomasi,110.8,0.692,110.8,0.692,White&Seymour(2003)
Rodentia,Muridae,Merioneshurrianae,69,0.304,70.6,0.301,White&Seymour(2003)
Rodentia,Muridae,Merioneshurrianae,72.3,0.298,,,Lovegrove(2003)
Rodentia,Muridae,Merionestristrami,112,0.55,112,0.55,White&Seymour(2003)
Rodentia,Muridae,Merionesunguiculatus,58.1,0.69,64.8,0.546,Lovegrove(2003)
Rodentia,Muridae,Merionesunguiculatus,67,0.43,,,White&Seymour(2003)
Rodentia,Muridae,Merionesunguiculatus,70,0.547,,,Hart(1971)
Rodentia,Muridae,Mesocricetusauratus,98,0.82,108.2,0.69,White&Seymour(2003)
Rodentia,Muridae,Mesocricetusauratus,119.5,0.58,,,Heusner(1991)
Rodentia,Muridae,Micromysminutus,6,0.224,7.6,0.201,Hart(1971)
Rodentia,Muridae,Micromysminutus,7.37,0.118,,,White&Seymour(2003)
Rodentia,Muridae,Micromysminutus,8.7,0.24,,,Heusner(1991)
Rodentia,Muridae,Micromysminutus,8.71,0.26,,,Heusner(1991)
Rodentia,Muridae,Microtusagrestis,22.3,0.38,25,0.367,Heusner(1991)
Rodentia,Muridae,Microtusagrestis,28,0.355,,,White&Seymour(2003)
Rodentia,Muridae,Microtusarvalis,20,0.346,21.9,0.343,White&Seymour(2003)
Rodentia,Muridae,Microtusarvalis,23.9,0.34,,,Heusner(1991)
Rodentia,Muridae,Microtusbreweri,53.1,0.412,53.1,0.412,White&Seymour(2003)
Rodentia,Muridae,Microtuscalifornicus,44,0.38,44,0.38,White&Seymour(2003)
Rodentia,Muridae,Microtusguentheri,43.8,0.447,43.8,0.447,White&Seymour(2003)
Rodentia,Muridae,Microtuslongicaudus,28.6,0.377,32.5,0.383,White&Seymour(2003)
Rodentia,Muridae,Microtuslongicaudus,30.2,0.347,,,Lovegrove(2003)
Rodentia,Muridae,Microtuslongicaudus,31.2,0.41,,,Lovegrove(2000)
Rodentia,Muridae,Microtuslongicaudus,41.4,0.4,,,Heusner(1991)
Rodentia,Muridae,Microtusmexicanus,28,0.26,28.4,0.261,Heusner(1991)
Rodentia,Muridae,Microtusmexicanus,28.8,0.262,,,White&Seymour(2003)
Rodentia,Muridae,Microtusmontanus,30.8,0.455,32.9,0.46,Lovegrove(2000)
Rodentia,Muridae,Microtusmontanus,35.1,0.465,,,White&Seymour(2003)
Rodentia,Muridae,Microtusochrogaster,46.7,0.441,48.2,0.41,White&Seymour(2003)
Rodentia,Muridae,Microtusochrogaster,47,0.459,,,Lovegrove(2000)
Rodentia,Muridae,Microtusochrogaster,51,0.34,,,Heusner(1991)
Rodentia,Muridae,Microtusoeconomus,32,0.57,32.8,0.566,Heusner(1991)
Rodentia,Muridae,Microtusoeconomus,33.7,0.563,,,White&Seymour(2003)
Rodentia,Muridae,Microtuspennsylvanicus,37.8,0.457,38.2,0.428,Lovegrove(2000)
Rodentia,Muridae,Microtuspennsylvanicus,38,0.41,,,Heusner(1991)
Rodentia,Muridae,Microtuspennsylvanicus,38.9,0.419,,,White&Seymour(2003)
Rodentia,Muridae,Microtuspinetorum,23.8,0.312,24.8,0.305,Lovegrove(2003)
Rodentia,Muridae,Microtuspinetorum,25,0.28,,,Heusner(1991)
Rodentia,Muridae,Microtuspinetorum,25.5,0.326,,,White&Seymour(2003)
Rodentia,Muridae,Microtusrichardsoni,51,0.5,64.5,0.701,Heusner(1991)
Rodentia,Muridae,Microtusrichardsoni,65.65,0.714,,,White&Seymour(2003)
Rodentia,Muridae,Microtusrichardsoni,80,0.964,,,Lovegrove(2003)
Rodentia,Muridae,Microtussubterraneus,17.8,0.276,17.8,0.276,White&Seymour(2003)
Rodentia,Muridae,Microtustownsendii,52.2,0.504,52.2,0.504,White&Seymour(2003)
Rodentia,Muridae,Microtusxanthognathus,68.5,0.55,68.5,0.55,White&Seymour(2003)
Rodentia,Muridae,Millardiameltada,67.4,0.327,67.4,0.327,White&Seymour(2003)
Rodentia,Muridae,Musminutoides,7.92,0.124,8,0.129,Lovegrove(2000)
Rodentia,Muridae,Musminutoides,8.06,0.134,,,White&Seymour(2003)
Rodentia,Muridae,Musmusculus,13.2,0.365,18,0.271,Lovegrove(2003)
Rodentia,Muridae,Musmusculus,17,0.16,,,Heusner(1991)
Rodentia,Muridae,Musmusculus,26,0.34,,,Heusner(1991)
Rodentia,Muridae,Musspretus,21.8,0.345,21.8,0.345,White&Seymour(2003)
Rodentia,Muridae,Myopusschisticolor,26.4,0.522,26.4,0.522,White&Seymour(2003)
Rodentia,Muridae,Mystromysalbicaudatus,93.78,0.707,93.8,0.707,White&Seymour(2003)
Rodentia,Muridae,Nannospalaxehrenbergi,128,0.614,133.8,0.585,Lovegrove(2000)
Rodentia,Muridae,Nannospalaxehrenbergi,134,0.568,,,White&Seymour(2003)
Rodentia,Muridae,Nannospalaxehrenbergi,134,0.462,,,White&Seymour(2003)
Rodentia,Muridae,Nannospalaxehrenbergi,135,0.64,,,White&Seymour(2003)
Rodentia,Muridae,Nannospalaxehrenbergi,138,0.662,,,White&Seymour(2003)
Rodentia,Muridae,Nannospalaxleucodon,151.9,0.713,183.3,0.76,Lovegrove(2000)
Rodentia,Muridae,Nannospalaxleucodon,177.9,0.63,,,Heusner(1991)
Rodentia,Muridae,Nannospalaxleucodon,201,0.83,,,White&Seymour(2003)
Rodentia,Muridae,Nannospalaxleucodon,208,0.893,,,Hart(1971)
Rodentia,Muridae,Neofiberalleni,258.1,1.209,258.1,1.209,White&Seymour(2003)
Rodentia,Muridae,Neotomaalbigula,172.4,0.72,177.6,0.735,Heusner(1991)
Rodentia,Muridae,Neotomaalbigula,183,0.75,,,White&Seymour(2003)
Rodentia,Muridae,Neotomacinerea,205.1,0.941,256.5,1.152,White&Seymour(2003)
Rodentia,Muridae,Neotomacinerea,320.9,1.41,,,Heusner(1991)
Rodentia,Muridae,Neotomafuscipes,187,0.824,187,0.824,White&Seymour(2003)
Rodentia,Muridae,Neotomalepida,98.7,0.413,112.5,0.46,Lovegrove(2003)
Rodentia,Muridae,Neotomalepida,106,0.36,,,Heusner(1991)
Rodentia,Muridae,Neotomalepida,110,0.485,,,White&Seymour(2003)
Rodentia,Muridae,Neotomalepida,113.4,0.517,,,Lovegrove(2000)
Rodentia,Muridae,Neotomalepida,138,0.554,,,Hart(1971)
Rodentia,Muridae,Notomysalexis,32.3,0.252,32.3,0.252,White&Seymour(2003)
Rodentia,Muridae,Notomyscervinus,33.2,0.246,33.7,0.239,Lovegrove(2000)
Rodentia,Muridae,Notomyscervinus,34.2,0.233,,,White&Seymour(2003)
Rodentia,Muridae,Ochrotomysnuttalli,19.5,0.151,19.5,0.151,White&Seymour(2003)
Rodentia,Muridae,Oligoryzomyslongicaudatus,28.2,0.285,28.2,0.285,White&Seymour(2003)
Rodentia,Muridae,Ondatrazibethicus,842,3.89,976.3,4.363,Heusner(1991)
Rodentia,Muridae,Ondatrazibethicus,1004.6,3.586,,,White&Seymour(2003)
Rodentia,Muridae,Ondatrazibethicus,1100,5.952,,,Hart(1971)
Rodentia,Muridae,Onychomystorridus,19.1,0.165,19.1,0.165,White&Seymour(2003)
Rodentia,Muridae,Otomysirroratus,102,0.474,102,0.474,White&Seymour(2003)
Rodentia,Muridae,Otomyssloggetti,113.29,0.746,113.3,0.746,White&Seymour(2003)
Rodentia,Muridae,Otomysunisulcatus,96,0.595,96,0.595,White&Seymour(2003)
Rodentia,Muridae,Oxymycterusroberti,83.5,0.508,83.5,0.508,White&Seymour(2003)
Rodentia,Muridae,Parotomysbrantsii,86.5,0.468,86.5,0.468,White&Seymour(2003)
Rodentia,Muridae,Peromyscusboylii,23.2,0.303,23.2,0.303,White&Seymour(2003)
Rodentia,Muridae,Peromyscuscalifornicus,45.5,0.261,47,0.267,Lovegrove(2003)
Rodentia,Muridae,Peromyscuscalifornicus,47.6,0.292,,,White&Seymour(2003)
Rodentia,Muridae,Peromyscuscalifornicus,48,0.25,,,Heusner(1991)
Rodentia,Muridae,Peromyscuscrinitus,13.6,0.1,20.5,0.162,Heusner(1991)
Rodentia,Muridae,Peromyscuscrinitus,15.9,0.14,,,Lovegrove(2003)
Rodentia,Muridae,Peromyscuscrinitus,16,0.143,,,Hart(1971)
Rodentia,Muridae,Peromyscuscrinitus,20.9,0.173,,,Lovegrove(2003)
Rodentia,Muridae,Peromyscuscrinitus,49.6,0.324,,,White&Seymour(2003)
Rodentia,Muridae,Peromyscuseremicus,20,0.179,21,0.173,Hart(1971)
Rodentia,Muridae,Peromyscuseremicus,20.7,0.15,,,Heusner(1991)
Rodentia,Muridae,Peromyscuseremicus,21.5,0.185,,,White&Seymour(2003)
Rodentia,Muridae,Peromyscuseremicus,22,0.182,,,Lovegrove(2000)
Rodentia,Muridae,Peromyscusgossypinus,21.5,0.206,21.5,0.206,White&Seymour(2003)
Rodentia,Muridae,Peromyscusleucopus,20,0.185,22.3,0.213,White&Seymour(2003)
Rodentia,Muridae,Peromyscusleucopus,21.4,0.189,,,Lovegrove(2000)
Rodentia,Muridae,Peromyscusleucopus,22.1,0.205,,,Lovegrove(2003)
Rodentia,Muridae,Peromyscusleucopus,22.3,0.19,,,Heusner(1991)
Rodentia,Muridae,Peromyscusleucopus,26,0.319,,,Hart(1971)
Rodentia,Muridae,Peromyscusmaniculatus,17,0.17,20.5,0.219,Heusner(1991)
Rodentia,Muridae,Peromyscusmaniculatus,18.7,0.203,,,Lovegrove(2000)
Rodentia,Muridae,Peromyscusmaniculatus,18.93,0.22,,,White&Seymour(2003)
Rodentia,Muridae,Peromyscusmaniculatus,19,0.212,,,Hart(1971)
Rodentia,Muridae,Peromyscusmaniculatus,19,0.223,,,Hart(1971)
Rodentia,Muridae,Peromyscusmaniculatus,19.1,0.217,,,Lovegrove(2003)
Rodentia,Muridae,Peromyscusmaniculatus,19.53,0.222,,,White&Seymour(2003)
Rodentia,Muridae,Peromyscusmaniculatus,20.38,0.209,,,White&Seymour(2003)
Rodentia,Muridae,Peromyscusmaniculatus,22,0.245,,,Hart(1971)
Rodentia,Muridae,Peromyscusmaniculatus,22.8,0.206,,,White&Seymour(2003)
Rodentia,Muridae,Peromyscusmaniculatus,23.19,0.257,,,White&Seymour(2003)
Rodentia,Muridae,Peromyscusmaniculatus,24.2,0.225,,,Lovegrove(2003)
Rodentia,Muridae,Peromyscusmaniculatus,25,0.251,,,Hart(1971)
Rodentia,Muridae,Peromyscusmegalops,66,0.515,66.1,0.511,Hart(1971)
Rodentia,Muridae,Peromyscusmegalops,66.2,0.506,,,White&Seymour(2003)
Rodentia,Muridae,Peromyscusoreas,24.58,0.243,24.6,0.243,White&Seymour(2003)
Rodentia,Muridae,Peromyscuspolionotus,12,0.12,12,0.12,Lovegrove(2003)
Rodentia,Muridae,Peromyscussitkensis,28.3,0.261,28.3,0.261,White&Seymour(2003)
Rodentia,Muridae,Peromyscustruei,33,0.256,33.1,0.307,Lovegrove(2000)
Rodentia,Muridae,Peromyscustruei,33,0.35,,,Hart(1971)
Rodentia,Muridae,Peromyscustruei,33.2,0.283,,,White&Seymour(2003)
Rodentia,Muridae,Peromyscustruei,33.3,0.349,,,White&Seymour(2003)
Rodentia,Muridae,Petromyscuscollinus,20.41,0.115,20.4,0.115,Lovegrove(2003)
Rodentia,Muridae,Phenacomysintermedius,21.5,0.375,21.5,0.375,White&Seymour(2003)
Rodentia,Muridae,Phodopussungorus,25.7,0.228,31.3,0.313,White&Seymour(2003)
Rodentia,Muridae,Phodopussungorus,31.4,0.329,,,Lovegrove(2003)
Rodentia,Muridae,Phodopussungorus,33.2,0.3,,,Heusner(1991)
Rodentia,Muridae,Phodopussungorus,35.9,0.425,,,Lovegrove(2000)
Rodentia,Muridae,Phyllotisdarwini,36,0.253,47,0.333,Lovegrove(2000)
Rodentia,Muridae,Phyllotisdarwini,49,0.367,,,White&Seymour(2003)
Rodentia,Muridae,Phyllotisdarwini,59,0.398,,,White&Seymour(2003)
Rodentia,Muridae,Phyllotismagister,62.8,0.385,62.8,0.385,White&Seymour(2003)
Rodentia,Muridae,Phyllotisxanthopygus,55,0.316,55,0.316,White&Seymour(2003)
Rodentia,Muridae,Podomysfloridanus,30.8,0.288,30.8,0.288,White&Seymour(2003)
Rodentia,Muridae,Pseudomysgracilicaudatus,79.8,0.467,79.8,0.467,White&Seymour(2003)
Rodentia,Muridae,Pseudomyshermannsburgensis,12.2,0.13,12.2,0.13,White&Seymour(2003)
Rodentia,Muridae,Rattuscolletti,165.7,0.686,165.7,0.686,White&Seymour(2003)
Rodentia,Muridae,Rattusfuscipes,76,0.471,76,0.471,White&Seymour(2003)
Rodentia,Muridae,Rattuslutreolus,109,0.353,109,0.353,White&Seymour(2003)
Rodentia,Muridae,Rattusnorvegicus,160,1.339,206.9,1.404,Hart(1971)
Rodentia,Muridae,Rattusnorvegicus,160,1.169,,,Hart(1971)
Rodentia,Muridae,Rattusnorvegicus,170,0.948,,,Hart(1971)
Rodentia,Muridae,Rattusnorvegicus,170,0.96,,,Heusner(1991)
Rodentia,Muridae,Rattusnorvegicus,225,1.506,,,Hart(1971)
Rodentia,Muridae,Rattusnorvegicus,250,2.092,,,Hart(1971)
Rodentia,Muridae,Rattusnorvegicus,390,2.393,,,Hart(1971)
Rodentia,Muridae,Rattusrattus,117,0.77,117,0.77,Heusner(1991)
Rodentia,Muridae,Rattussordidus,187,0.595,187,0.595,White&Seymour(2003)
Rodentia,Muridae,Rattusvillosissimus,185,0.585,215.3,0.69,Lovegrove(2003)
Rodentia,Muridae,Rattusvillosissimus,250.6,0.813,,,White&Seymour(2003)
Rodentia,Muridae,Reithrodonauritus,78.7,0.428,78.7,0.428,Lovegrove(2003)
Rodentia,Muridae,Reithrodontomysmegalotis,9,0.13,9,0.13,Heusner(1991)
Rodentia,Muridae,Rhabdomyspumilio,39.6,0.179,39.6,0.179,White&Seymour(2003)
Rodentia,Muridae,Saccostomuscampestris,61.3,0.287,68.1,0.274,White&Seymour(2003)
Rodentia,Muridae,Saccostomuscampestris,75.7,0.261,,,Lovegrove(2003)
Rodentia,Muridae,Scotinomysteguina,12,0.174,12,0.174,White&Seymour(2003)
Rodentia,Muridae,Scotinomysxerampelinus,15.2,0.178,15.2,0.178,White&Seymour(2003)
Rodentia,Muridae,Sekeetamyscalurus,56.9,0.248,63.6,0.274,White&Seymour(2003)
Rodentia,Muridae,Sekeetamyscalurus,71.2,0.303,,,Lovegrove(2003)
Rodentia,Muridae,Sigmodonalleni,137.8,1.134,137.8,1.134,White&Seymour(2003)
Rodentia,Muridae,Sigmodonfulviventer,137.8,1.157,137.8,1.157,White&Seymour(2003)
Rodentia,Muridae,Sigmodonhispidus,139.3,1.285,159.6,1.085,White&Seymour(2003)
Rodentia,Muridae,Sigmodonhispidus,152.4,0.71,,,Heusner(1991)
Rodentia,Muridae,Sigmodonhispidus,191.6,1.4,,,Lovegrove(2003)
Rodentia,Muridae,Sigmodonleucotis,128.6,1.04,128.6,1.04,White&Seymour(2003)
Rodentia,Muridae,Sigmodonochrognathus,115.1,0.86,115.1,0.86,White&Seymour(2003)
Rodentia,Muridae,Steatomyspratensis,37.54,0.105,37.5,0.105,White&Seymour(2003)
Rodentia,Muridae,Stochomyslongicaudatus,82.33,0.55,83.3,0.547,Heusner(1991)
Rodentia,Muridae,Stochomyslongicaudatus,84.2,0.544,,,White&Seymour(2003)
Rodentia,Muridae,Tachyoryctessplendens,171,0.811,197,0.856,Hart(1971)
Rodentia,Muridae,Tachyoryctessplendens,191,0.842,,,White&Seymour(2003)
Rodentia,Muridae,Tachyoryctessplendens,234,0.92,,,Heusner(1991)
Rodentia,Muridae,Tateraafra,106.5,1.016,106.5,1.016,White&Seymour(2003)
Rodentia,Muridae,Tateraindica,86.8,0.421,86.9,0.422,Lovegrove(2003)
Rodentia,Muridae,Tateraindica,87,0.422,,,White&Seymour(2003)
Rodentia,Muridae,Tateraleucogaster,133.8,0.764,145.2,0.752,Lovegrove(2000)
Rodentia,Muridae,Tateraleucogaster,157.62,0.74,,,White&Seymour(2003)
Rodentia,Muridae,Thallomysnigricauda,124.7,0.382,124.7,0.382,Lovegrove(2000)
Rodentia,Muridae,Thallomyspaedulcus,132.4,0.487,132.4,0.487,White&Seymour(2003)
Rodentia,Muridae,Uromyscaudimaculatus,812,3.184,812,3.184,White&Seymour(2003)
Rodentia,Myoxidae,Graphiurusmurinus,38.43,0.225,38.4,0.225,Lovegrove(2003)
Rodentia,Myoxidae,Graphiurusocularis,67.8,0.37,67.8,0.37,White&Seymour(2003)
Rodentia,Myoxidae,Muscardinusavellanarius,23.5,0.351,23.5,0.351,White&Seymour(2003)
Rodentia,Myoxidae,Myoxusglis,152,0.5,174.4,0.664,Heusner(1991)
Rodentia,Myoxidae,Myoxusglis,200,0.881,,,White&Seymour(2003)
Rodentia,Octodontidae,Aconaemysfuscus,112,0.675,112,0.675,White&Seymour(2003)
Rodentia,Octodontidae,Octodonbridgesi,176.1,1.023,176.1,1.023,White&Seymour(2003)
Rodentia,Octodontidae,Octodondegus,193,0.949,199.6,0.958,White&Seymour(2003)
Rodentia,Octodontidae,Octodondegus,206.4,0.966,,,Lovegrove(2000)
Rodentia,Octodontidae,Octodonlunatus,173.2,0.957,173.2,0.957,White&Seymour(2003)
Rodentia,Octodontidae,Octodontomysgliroides,152,0.729,154.1,0.715,White&Seymour(2003)
Rodentia,Octodontidae,Octodontomysgliroides,156.3,0.702,,,Lovegrove(2000)
Rodentia,Octodontidae,Octomysmimax,118.6,0.642,118.6,0.642,White&Seymour(2003)
Rodentia,Octodontidae,Spalacopuscyanus,109.5,0.52,126.2,0.561,Lovegrove(2000)
Rodentia,Octodontidae,Spalacopuscyanus,135,0.596,,,White&Seymour(2003)
Rodentia,Octodontidae,Spalacopuscyanus,136,0.57,,,Heusner(1991)
Rodentia,Octodontidae,Tympanoctomysbarrerae,71.4,0.43,71.4,0.43,White&Seymour(2003)
Rodentia,Peditidae,Pedetescapensis,2300,4.427,2300,4.427,White&Seymour(2003)
Rodentia,Sciuridae,Ammospermophilusleucurus,75.6,0.439,94.1,0.511,Lovegrove(2003)
Rodentia,Sciuridae,Ammospermophilusleucurus,95.7,0.524,,,White&Seymour(2003)
Rodentia,Sciuridae,Ammospermophilusleucurus,96,0.54,,,Heusner(1991)
Rodentia,Sciuridae,Ammospermophilusleucurus,112.8,0.55,,,Heusner(1991)
Rodentia,Sciuridae,Cynomysludovicianus,1112.3,2.358,1112.3,2.358,White&Seymour(2003)
Rodentia,Sciuridae,Epixeruswilsoni,460,1.347,460,1.347,White&Seymour(2003)
Rodentia,Sciuridae,Funisciurusanerythrus,63,0.58,63,0.58,Heusner(1991)
Rodentia,Sciuridae,Funisciuruscongicus,112.3,0.533,112.3,0.533,White&Seymour(2003)
Rodentia,Sciuridae,Funisciurusisabella,60,0.57,60,0.57,White&Seymour(2003)
Rodentia,Sciuridae,Funisciuruslemniscatus,95,0.5,95,0.5,Heusner(1991)
Rodentia,Sciuridae,Funisciuruspyrrhopus,244,1.011,244,1.011,White&Seymour(2003)
Rodentia,Sciuridae,Glaucomysvolans,62.8,0.37,67.4,0.414,Heusner(1991)
Rodentia,Sciuridae,Glaucomysvolans,64.25,0.377,,,White&Seymour(2003)
Rodentia,Sciuridae,Glaucomysvolans,76,0.509,,,Lovegrove(2000)
Rodentia,Sciuridae,Heliosciurusrufobrachium,230,0.744,230,0.744,White&Seymour(2003)
Rodentia,Sciuridae,Marmotaflaviventris,4295,8.626,4295,8.626,White&Seymour(2003)
Rodentia,Sciuridae,Marmotamonax,2650,3.696,2650,3.696,White&Seymour(2003)
Rodentia,Sciuridae,Paraxeruscepapi,223.6,0.811,223.6,0.811,White&Seymour(2003)
Rodentia,Sciuridae,Paraxeruspalliatus,206,0.977,274.8,1.191,White&Seymour(2003)
Rodentia,Sciuridae,Paraxeruspalliatus,366.6,1.452,,,White&Seymour(2003)
Rodentia,Sciuridae,Sciurusaberti,624,2.402,624,2.402,White&Seymour(2003)
Rodentia,Sciuridae,Sciuruscarolinensis,440,2.062,440,2.062,White&Seymour(2003)
Rodentia,Sciuridae,Spermophilusarmatus,307,1.062,313.2,0.915,Lovegrove(2000)
Rodentia,Sciuridae,Spermophilusarmatus,312.8,0.88,,,Heusner(1991)
Rodentia,Sciuridae,Spermophilusarmatus,320,0.821,,,White&Seymour(2003)
Rodentia,Sciuridae,Spermophilusbeecheyi,599.6,1.773,599.6,1.773,White&Seymour(2003)
Rodentia,Sciuridae,Spermophilusbeldingi,288.56,0.8,293.7,0.796,Heusner(1991)
Rodentia,Sciuridae,Spermophilusbeldingi,289.8,0.889,,,Lovegrove(2000)
Rodentia,Sciuridae,Spermophilusbeldingi,303,0.71,,,White&Seymour(2003)
Rodentia,Sciuridae,Spermophiluscitellus,240,1.272,240,1.272,White&Seymour(2003)
Rodentia,Sciuridae,Spermophilusfranklinii,607,2.19,607,2.19,Heusner(1991)
Rodentia,Sciuridae,Spermophiluslateralis,217.6,1.317,249.6,0.967,Lovegrove(2000)
Rodentia,Sciuridae,Spermophiluslateralis,237,0.8,,,White&Seymour(2003)
Rodentia,Sciuridae,Spermophiluslateralis,270.16,0.74,,,Heusner(1991)
Rodentia,Sciuridae,Spermophiluslateralis,278.7,1.119,,,Lovegrove(2003)
Rodentia,Sciuridae,Spermophilusmohavensis,240,0.629,240,0.629,White&Seymour(2003)
Rodentia,Sciuridae,Spermophilusparryii,650,2.901,650,2.901,White&Seymour(2003)
Rodentia,Sciuridae,Spermophilusrichardsonii,252.3,0.901,266.3,0.788,Lovegrove(2000)
Rodentia,Sciuridae,Spermophilusrichardsonii,273.07,0.74,,,Heusner(1991)
Rodentia,Sciuridae,Spermophilusrichardsonii,274,0.734,,,White&Seymour(2003)
Rodentia,Sciuridae,Spermophilussaturatus,252.2,0.9,256.6,0.849,Lovegrove(2000)
Rodentia,Sciuridae,Spermophilussaturatus,261.15,0.8,,,Heusner(1991)
Rodentia,Sciuridae,Spermophilusspilosoma,157.8,0.5,170.4,0.543,Heusner(1991)
Rodentia,Sciuridae,Spermophilusspilosoma,174,0.514,,,White&Seymour(2003)
Rodentia,Sciuridae,Spermophilusspilosoma,180.3,0.624,,,Lovegrove(2000)
